familia,corrida,segundos,C,class_weight,max_iter,solver,penalty,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,umbral,tasa_predicha,prob_media,n_estimators,min_samples_leaf,max_features,max_depth,colsample_bytree,learning_rate,min_child_weight,reg_lambda,subsample
logistica,1,47.97529482841492,0.0745934328572655,,200.0,liblinear,l1,0.6895089317153134,0.6800046384137293,0.23003443508506496,0.6534919954230445,0.5630128265585211,0.5263518712836656,0.921315570358035,0.6699552128502614,0.21000000000000002,0.842627086673583,0.38544260177499584,,,,,,,,,
logistica,2,8.018492221832275,7.915074397656217,,200.0,liblinear,l2,0.6902327069373733,0.6796379122793359,0.2300338584217037,0.6538664270169307,0.5727860039611431,0.5332513384459557,0.9025077141597688,0.6703958378811031,0.22000000000000003,0.8147458266528341,0.3855599296113637,,,,,,,,,
logistica,3,2.0986387729644775,0.0060252157362038605,,200.0,lbfgs,l2,0.6891457117731355,0.6807094734232295,0.2299876121304846,0.6531076622271076,0.5717014052626616,0.5325734783614904,0.9016995640887495,0.6696371737746658,0.23,0.8150523436763181,0.385713304623701,,,,,,,,,
logistica,4,8.272331476211548,1.0129197956845732,balanced,200.0,liblinear,l2,0.6903694372648532,0.6794189049514912,0.22144932694772168,0.6328326551792919,0.5731160992172026,0.5334616609256955,0.9026546505363178,0.6706025762317153,0.29000000000000004,0.8145572007922286,0.4630679570704424,,,,,,,,,
logistica,5,1.7101454734802246,0.0019145111285710716,balanced,500.0,liblinear,l2,0.6875637908685517,0.6796570951252712,0.22168192912197104,0.6333451289693001,0.5645572007922286,0.5275554927187898,0.9137973257579468,0.6689254598257502,0.30000000000000004,0.8338441950391399,0.46554949162098147,,,,,,,,,
logistica,6,2.356736660003662,0.011526449540315618,balanced,500.0,lbfgs,l2,0.6899339485525385,0.6805422061092397,0.2212394856703602,0.632290640380881,0.5683768744694898,0.5300900849535322,0.9107361512465103,0.6701324443643571,0.29000000000000004,0.827077242289918,0.4634969703411412,,,,,,,,,
logistica,7,7.819739103317261,1.2229467525390603,balanced,500.0,lbfgs,l2,0.6903747760534077,0.6793865697682434,0.2214400631257399,0.6328113381945563,0.5730335754031878,0.5334037534908622,0.9027526081206837,0.6705838479939605,0.29000000000000004,0.8147340375365463,0.4630234522279408,,,,,,,,,
logistica,8,55.97013711929321,0.14445251022763064,,200.0,liblinear,l1,0.6900735776362233,0.6801453357051024,0.2299429024463009,0.653390955428227,0.5707346977270584,0.5317462596559746,0.906940294852329,0.6704199855177407,0.22000000000000003,0.821064792983118,0.38546979153336597,,,,,,,,,
logistica,9,53.25951147079468,0.09984006580328653,balanced,500.0,liblinear,l1,0.689994070882834,0.6798547895105644,0.22132543928086723,0.632496449048565,0.5708525888899368,0.5317988749856504,0.9075770191507078,0.6706357105372686,0.29000000000000004,0.8215599358672074,0.4632961383880603,,,,,,,,,
logistica,10,77.96251630783081,0.19069966103000435,,500.0,liblinear,l1,0.690200960908455,0.6801451104166015,0.22993240402341714,0.6534097664880244,0.5711944732622842,0.5320663034258687,0.9063525493461331,0.6705135289375233,0.22000000000000003,0.8200391398660757,0.38547382464541147,,,,,,,,,
logistica,11,3.341832160949707,0.08171653749019032,balanced,500.0,lbfgs,l2,0.6903648934491928,0.6801340682583998,0.2213180551493957,0.6325065514124132,0.5720197114024332,0.5326502082522663,0.905103590145467,0.6706344525997768,0.29000000000000004,0.8180114118645666,0.4630341325459188,,,,,,,,,
